title,description,tags,tpt_url,price
"Algebra Task Cards - Linear Equations","40 printable cards covering linear equations and solving methods for middle school students","math;algebra;linear equations;middle school",https://www.teacherspayteachers.com/Product/Algebra-Task-Cards-12345,6.99
"Geometry Worksheet Bundle","Comprehensive geometry practice sheets covering shapes angles and measurements","math;geometry;worksheets;shapes",https://www.teacherspayteachers.com/Product/Geometry-Bundle-67890,8.99
"Fractions Activity Pack","Interactive fractions activities and games for elementary students","math;fractions;elementary;activities",https://www.teacherspayteachers.com/Product/Fractions-Pack-11111,4.99
"Reading Comprehension Passages","20 engaging reading passages with comprehension questions for grades 3-5","reading;comprehension;elementary;passages",https://www.teacherspayteachers.com/Product/Reading-Passages-22222,12.99
"Science Fair Project Ideas","50 creative science fair project ideas with detailed instructions","science;projects;elementary;middle school",https://www.teacherspayteachers.com/Product/Science-Projects-33333,7.99
"Writing Prompts Collection","100 creative writing prompts to inspire student writing","writing;prompts;creative writing;all grades",https://www.teacherspayteachers.com/Product/Writing-Prompts-44444,5.99
"Math Centers Bundle","Ready-to-use math centers for grades K-2 with manipulatives and activities","math;centers;kindergarten;first grade;second grade",https://www.teacherspayteachers.com/Product/Math-Centers-55555,15.99
"Phonics Games Collection","Fun phonics games and activities for beginning readers","phonics;reading;kindergarten;first grade",https://www.teacherspayteachers.com/Product/Phonics-Games-66666,9.99
"Social Studies Timeline","Interactive timeline activities covering American history","social studies;history;timeline;middle school",https://www.teacherspayteachers.com/Product/History-Timeline-77777,11.99
"Spelling Word Lists","Weekly spelling word lists with activities for grades 1-6","spelling;vocabulary;elementary;word lists",https://www.teacherspayteachers.com/Product/Spelling-Lists-88888,3.99
